# Intermediate CAs in the cabinet that this store does not carry, with the reason.
# Written by certval-store-gen; a change here is a change in what the publisher ships,
# not in this crate.
#
# unrooted     the cabinet includes the CA but not its issuer, so nothing roots it
# unvalidated  a path to a root exists and none validated as of the publication date;
#              an InvalidNotAfterDate here is a CA the publisher shipped already lapsed
unvalidated  Microsoft_EUS-ifx-keyid-2a77a0e342cbc6c72ee3fafc3b0a7bcea7c9ce4e  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-2f572bbadec4d18e0d91ff4375fb468c61b8c7af  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-347c93cabded6168c61fdc8740a7353e46751616  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-37ae346baa54c513cff0290bb321a22a34a4a8c4  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-37ae346baa54c513cff0290bb321a22a34a4a8c4_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-40b8682b8d18450a2b06849d9b5cd96f4cddf4be_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-46f26f96330691e561b72f7a63dce3a0517039fb  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-5c2920742179bc704db1d8c54c34ca94405617ca_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-5d0815951f5f60638a69e7252f3ec4becd7554b2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-69146ac3cfb3665c7ae78101cca5c14255ca2bc8_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-7cb4b78e688614be4421c5858f15b96d5eab51ee  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-8343bac2129d78299c4b513cc3de61037bfcc955  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-9c7df5a91c3d49bbe7378d4aba12ff8e78a2d75c  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-9c7df5a91c3d49bbe7378d4aba12ff8e78a2d75c_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-a26ceeac95fa33673219d0c2a77637102fb53ff2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-c2ef641c329cb0a9f2eae04bfb10c99b89c34614_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-ce77153b6e110ca4ae2971a09851ef499326202a  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-d8a3f556085a68c8aa5d5fe079bcc6e9c6d37764_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-intc-keyid-17a00575d05e58e3881210bb98b1045bb4c30639  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-intc-keyid-9aaf591ee263caae10f57ba04fa8d1dd6613f9eb  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-intc-keyid-e7083f22152a7492ec59b0c4243437648b15dbb7  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ntc-keyid-1591d4b6eaf98d0104864b6903a48dd0026077d3_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ntc-keyid-23f4e22ad3be374a449772954aa283aed752572e  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ntc-keyid-23f4e22ad3be374a449772954aa283aed752572e_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ntc-keyid-882f047b87121cf9885f31160bc7bb5586af471b  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ntc-keyid-882f047b87121cf9885f31160bc7bb5586af471b_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-16B341E381CD5C3E799AC838CA17F1F7F3F7431E_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-277631D059FA7A9553FB59DFD6E85BC122300FF0_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-2D605CD882B2BD716CCE71C90BC774D3D5BCB1D4_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-35AEE736C9B4D2861309E7815C0FA4CE40D865F6_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-4666DE766204E74DD29BB4FDC58523A1403D6A32_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_NCU-ATML-KEYID-55F4DA39CA65B6681F2B7711BC3EF208A8679D1E_2  Some(PathValidation(InvalidNotAfterDate))
